Academy of Management Annals,1941-6520,1941-6067,200,"['nauki o kulturze fizycznej', 'nauki o zarządzaniu i jakości']"
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,1948-0989,200,"['inżynieria mechaniczna', 'nauki o zarządzaniu i jakości']"
ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,200,"['inżynieria mechaniczna', 'nauki o zarządzaniu i jakości']"
ACCOUNTING REVIEW,0001-4826,1558-7967,200,"['ekonomia i finanse', 'nauki o zarządzaniu i jakości']"
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,200,"['inżynieria biomedyczna', 'inżynieria materiałowa', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki chemiczne']"
ACM COMPUTING SURVEYS,0360-0300,1557-7341,200,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'informatyka']"
ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1557-7333,200,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'informatyka']"
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,1557-7295,200,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'inżynieria mechaniczna', 'informatyka']"
ACS Applied Materials & Interfaces,1944-8244,,200,"['inżynieria biomedyczna', 'inżynieria chemiczna', 'inżynieria materiałowa', 'inżynieria mechaniczna', 'nauki farmaceutyczne', 'nauki leśne', 'nauki chemiczne']"
ACS Catalysis,2155-5435,2155-5435,200,"['inżynieria biomedyczna', 'inżynieria chemiczna', 'inżynieria materiałowa', 'nauki farmaceutyczne', 'nauki biologiczne', 'nauki chemiczne']"
ACS Central Science,2374-7943,2374-7951,200,"['inżynieria biomedyczna', 'inżynieria materiałowa', 'inżynieria mechaniczna', 'nauki farmaceutyczne', 'nauki chemiczne']"
ACS Energy Letters,2380-8195,2380-8195,200,"['automatyka, elektronika i elektrotechnika', 'inżynieria materiałowa', 'rolnictwo i ogrodnictwo', 'nauki chemiczne']"
