ACM COMPUTING SURVEYS,0360-0300,1557-7341,200,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'informatyka']"
ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1557-7333,200,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'informatyka']"
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,1557-7295,200,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'inżynieria mechaniczna', 'informatyka']"
ACTA NUMERICA,0962-4929,1474-0508,200,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria lądowa i transport', 'informatyka', 'matematyka']"
APPLIED SOFT COMPUTING,1568-4946,1872-9681,200,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'nauki farmaceutyczne', 'informatyka']"
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,1134-3060,1886-1784,200,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'inżynieria lądowa i transport', 'inżynieria mechaniczna', 'informatyka']"
ARTIFICIAL INTELLIGENCE,0004-3702,1872-7921,200,"['językoznawstwo', 'nauki o kulturze i religii', 'automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'informatyka']"
BIOINFORMATICS,1367-4803,1460-2059,200,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o zdrowiu', 'nauki leśne', 'informatyka', 'matematyka', 'nauki biologiczne', 'nauki chemiczne']"
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0045-7825,1879-2138,200,"['architektura i urbanistyka', 'automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'inżynieria lądowa i transport', 'inżynieria materiałowa', 'inżynieria mechaniczna', 'astronomia', 'informatyka', 'nauki fizyczne']"
COMPUTERS & EDUCATION,0360-1315,1873-782X,200,"['nauki o kulturze i religii', 'architektura i urbanistyka', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'pedagogika', 'informatyka']"
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,1615-3375,1615-3383,200,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria mechaniczna', 'informatyka', 'matematyka']"
IEEE COMMUNICATIONS MAGAZINE,0163-6804,1558-1896,200,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'informatyka']"
IEEE Communications Surveys and Tutorials,1553-877X,1553-877X,200,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'inżynieria lądowa i transport', 'nauki o zarządzaniu i jakości', 'informatyka']"
IEEE Internet of Things Journal,2327-4662,2327-4662,200,"['architektura i urbanistyka', 'automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'nauki o zarządzaniu i jakości', 'informatyka']"
IEEE NETWORK,0890-8044,1558-156X,200,"['architektura i urbanistyka', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'nauki o zarządzaniu i jakości', 'informatyka']"
