Academy of Management Annals,1941-6520,1941-6067,200,"['nauki o kulturze fizycznej', 'nauki o zarządzaniu i jakości']"
AMERICAN ANNALS OF THE DEAF,0002-726X,1543-0375,40,"['nauki o kulturze i religii', 'inżynieria biomedyczna', 'nauki medyczne', 'pedagogika']"
Analele Universitatii Bucuresti-Filosofie-Annals of the University of Bucharest-Philosophy,0068-3175,2537-4044,20,['filozofia']
Annals Abbasi Shaheed Hospital & Karachi Medical & Dental College,1563-3241,1563-3241,20,"['inżynieria biomedyczna', 'nauki medyczne', 'nauki o zdrowiu']"
ANNALS ACADEMY OF MEDICINE SINGAPORE,0304-4602,,40,"['inżynieria biomedyczna', 'nauki medyczne', 'nauki o zdrowiu', 'weterynaria']"
Annals in Social Responsibility,2056-3515,2056-3523,20,['nauki o zarządzaniu i jakości']
Annals of Actuarial Science,1748-4995,1748-5002,40,"['ekonomia i finanse', 'nauki o zarządzaniu i jakości']"
Annals of African Medicine,1596-3519,0975-5764,40,"['inżynieria biomedyczna', 'nauki farmaceutyczne', 'nauki medyczne']"
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,1232-1966,1898-2263,70,"['inżynieria środowiska, górnictwo i energetyka', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o kulturze fizycznej', 'nauki o zdrowiu', 'rolnictwo i ogrodnictwo', 'technologia żywności i żywienia', 'weterynaria', 'zootechnika i rybactwo', 'nauki socjologiczne']"
ANNALS OF AGRICULTURAL SCIENCE,0570-1783,,70,"['rolnictwo i ogrodnictwo', 'technologia żywności i żywienia', 'zootechnika i rybactwo', 'nauki biologiczne']"
ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,1081-1206,1534-4436,70,"['inżynieria biomedyczna', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o zdrowiu', 'rolnictwo i ogrodnictwo', 'nauki biologiczne']"
ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER,0940-9602,1618-0402,100,"['inżynieria biomedyczna', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o zdrowiu', 'nauki leśne', 'weterynaria', 'zootechnika i rybactwo', 'nauki biologiczne']"
Annals of Animal Science,2300-8733,2300-8733,100,"['inżynieria środowiska, górnictwo i energetyka', 'technologia żywności i żywienia', 'weterynaria', 'zootechnika i rybactwo']"
Annals of Anthropological Practice,2153-957X,2153-9588,40,"['historia', 'nauki socjologiczne']"
ANNALS OF APPLIED BIOLOGY,0003-4746,1744-7348,100,"['nauki o zdrowiu', 'rolnictwo i ogrodnictwo', 'nauki biologiczne']"
ANNALS OF APPLIED PROBABILITY,1050-5164,,140,"['informatyka techniczna i telekomunikacja', 'ekonomia i finanse', 'nauki o zarządzaniu i jakości', 'informatyka', 'matematyka']"
Annals of Applied Sport Science,2322-4479,2322-4479,20,"['inżynieria biomedyczna', 'nauki medyczne', 'nauki o kulturze fizycznej', 'nauki socjologiczne']"
Annals of Applied Statistics,1932-6157,,100,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'inżynieria mechaniczna', 'inżynieria środowiska, górnictwo i energetyka', 'ekonomia i finanse', 'nauki o zarządzaniu i jakości', 'nauki socjologiczne', 'matematyka']"
ANNALS OF BEHAVIORAL MEDICINE,0883-6612,1532-4796,100,"['nauki medyczne', 'nauki o kulturze fizycznej', 'nauki o zdrowiu']"
ANNALS OF BIOMEDICAL ENGINEERING,0090-6964,1573-9686,100,"['inżynieria biomedyczna', 'inżynieria lądowa i transport', 'inżynieria materiałowa', 'inżynieria mechaniczna', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o zdrowiu']"
ANNALS OF BOTANY,0305-7364,1095-8290,100,"['nauki farmaceutyczne', 'nauki leśne', 'rolnictwo i ogrodnictwo', 'nauki biologiczne']"
Annals of Cardiac Anaesthesia,0971-9784,0974-5181,40,"['inżynieria biomedyczna', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o zdrowiu']"
Annals of Cardiothoracic Surgery,2225-319X,2304-1021,70,"['inżynieria biomedyczna', 'nauki medyczne', 'nauki o zdrowiu']"
ANNALS OF CARNEGIE MUSEUM,0097-4463,1943-6300,70,"['inżynieria lądowa i transport', 'nauki o Ziemi i środowisku']"
ANNALS OF CLINICAL AND LABORATORY SCIENCE,0091-7370,1550-8080,40,"['inżynieria biomedyczna', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o zdrowiu', 'technologia żywności i żywienia', 'nauki biologiczne', 'nauki chemiczne']"
Annals of Clinical and Translational Neurology,2328-9503,2328-9503,100,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o zdrowiu']"
ANNALS OF CLINICAL BIOCHEMISTRY,0004-5632,1758-1001,70,"['inżynieria biomedyczna', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o zdrowiu', 'nauki chemiczne']"
Annals of Clinical Microbiology and Antimicrobials,1476-0711,,100,"['inżynieria biomedyczna', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o zdrowiu', 'technologia żywności i żywienia']"
Annals of Clinical Psychiatry,1040-1237,1547-3325,70,"['inżynieria biomedyczna', 'nauki farmaceutyczne', 'nauki medyczne', 'nauki o zdrowiu']"
Annals of Coloproctology,2287-9714,2287-9722,40,"['inżynieria biomedyczna', 'nauki medyczne', 'nauki o zdrowiu']"
